日志文件已创建：./logs/ssram_to_digtime+timing_ctrl+array_128_32_8t_0_concat_relu_0.3_1.0.txt
============= PID = 1024919 ============= 
参数配置:
  seed: 42
  train_dataset: ssram
  test_dataset: digtime+timing_ctrl+array_128_32_8t
  task: classification
  max_dist: 350
  num_workers: 4
  gpu: 3
  epochs: 200
  batch_size: 32
  lr: 5e-05
  num_gnn_layers: 4
  num_head_layers: 2
  hid_dim: 64
  dropout: 0.3
  use_bn: 0
  act_fn: relu
  src_dst_agg: concat
  num_hops: 4
  to_undirected: 1
  train_sample_rate: 1.0
  test_sample_rate: 1.0
  use_ensemble: 0
  num_ensemble: 3
  ensemble_thresholds: 0.33,0.66
SealSramDataset includes ['ssram'] circuits
load processed ssram, len(data_list)=228036, data_offset=0 
PID = 1024919
Building dataset ssram took 00:00:00.04
Dataloader: Loading success.
SealSramDataset includes ['digtime', 'timing_ctrl', 'array_128_32_8t'] circuits
load processed digtime, len(data_list)=3657, data_offset=0 
load processed timing_ctrl, len(data_list)=4332, data_offset=1 
load processed array_128_32_8t, len(data_list)=95637, data_offset=2 
PID = 1024919
Building dataset digtime+timing_ctrl+array_128_32_8t took 00:00:00.05
Dataloader: Loading success.
Train {'loss': 0.3676, 'accuracy': 0.8495, 'precision': 0.8481, 'recall': 0.9802, 'f1': 0.9094, 'auc': 0.8476}
Val {'loss': 0.3042, 'accuracy': 0.8748, 'precision': 0.8593, 'recall': 1.0, 'f1': 0.9243, 'auc': 0.8974}
Test_digtime {'loss': 0.2681, 'accuracy': 0.8789, 'precision': 0.864, 'recall': 1.0, 'f1': 0.927, 'auc': 0.9274}
Test_timing_ctrl {'loss': 0.2629, 'accuracy': 0.8807, 'precision': 0.8657, 'recall': 1.0, 'f1': 0.928, 'auc': 0.9256}
Test_array_128_32_8t {'loss': 0.3239, 'accuracy': 0.8749, 'precision': 0.8601, 'recall': 1.0, 'f1': 0.9248, 'auc': 0.8593}
Train {'loss': 0.3091, 'accuracy': 0.8764, 'precision': 0.8655, 'recall': 0.9941, 'f1': 0.9253, 'auc': 0.8783}
Val {'loss': 0.2993, 'accuracy': 0.8813, 'precision': 0.8661, 'recall': 0.9993, 'f1': 0.9279, 'auc': 0.8968}
Train {'loss': 0.3051, 'accuracy': 0.8777, 'precision': 0.8661, 'recall': 0.9951, 'f1': 0.9261, 'auc': 0.88}
Val {'loss': 0.3003, 'accuracy': 0.8813, 'precision': 0.8661, 'recall': 0.9993, 'f1': 0.9279, 'auc': 0.8962}
Train {'loss': 0.3019, 'accuracy': 0.8786, 'precision': 0.8668, 'recall': 0.9953, 'f1': 0.9266, 'auc': 0.8819}
Val {'loss': 0.2966, 'accuracy': 0.8813, 'precision': 0.8661, 'recall': 0.9993, 'f1': 0.9279, 'auc': 0.8968}
